,Job Salary,Job Experience Required,Key Skills,Role Category,Functional Area,Industry,Job Title
2737,"2,00,000 - 2,50,000 PA.",1 - 2 yrs, Fire| Safety Officer Activities,Other,"Architecture , Interior Design","Architecture, Interior Design",Outside Consultant
2738,Openings: 1,0 - 2 Years,Soft Skills|Back Office,Back Office/Web/Transaction Processing,"ITES , BPO , KPO , LPO , Customer Service , Operations",IT-Software / Software Services,Associate/Senior Associate -(NonTechnical)
2739, Not Disclosed by Recruiter ,2 - 6 yrs, Automobile| Technical| Mechanical| CAD| CATIA| Automobile components| Installation| Testing| Software| Servicing,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance","Recruitment, Staffing",Project Manager-Production/Manufacturing/Maintenance
2740, Not Disclosed by Recruiter ,3 - 8 yrs, Algorithms| Tools| Application| Software| Technical| Web application development| Agile scrum| Application software| Customer satisfaction| Business Executive,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
2742,"3,50,000 - 4,25,000 PA.",1 - 5 yrs, Communication Skills| International BPO| Chat Process| chat support| email support| non voice| bpo| kpo,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
2743,"3,50,000 - 4,25,000 PA.",3 - 4 yrs, Customer Service Manager| Customer Service Management| manager - operations,Retail/Personal Banking,"Financial Services , Banking , Investments , Insurance","IT-Software, Software Services",Customer Service Manager
2744, Not Disclosed by Recruiter ,4 - 6 yrs,Angularjs| CSS| Azure| Express| html5| react.js| node.js| Javascript| debugging| mongodb| AWS,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
2745,"7,00,000 - 17,00,000 PA.",6 - 11 yrs, algorithms| technical lead| lead developer| solution architect| business strategy| digital strategy| problem solving| strategic planning| team lead| lead engineer| software solutions| data structures| digital transformation| technical architect,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Team Lead/Technical Lead
2746,"2,50,000 - 3,75,000 PA.",0 - 5 yrs, bpo| tele calling| domestic bpo| customer service| customer care| call center| tele sales| teamleader| Bengali| team leader| team coach| tl| telecalling| quality analyst,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
2747, Not Disclosed by Recruiter ,5 - 8 yrs, International trade| Retail| operational support| Social media| Market intelligence| Market research| Merchandising| Operations,Production/Merchandising/Business Development,"Export , Import , Merchandising","Textiles, Garments, Accessories",Merchandiser
2748, Not Disclosed by Recruiter ,6 - 8 yrs, VMware| WebLogic| Linux| Shell Scripting| Oracle Fusion| Oracle SOA| Performance Tuning| Middleware,Programming & Design,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",Software Developer
2749, Not Disclosed by Recruiter ,0 - 0 yrs, Android Studio| Android SDK| GIT,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
2750, Not Disclosed by Recruiter ,2 - 5 yrs, Unix| development| software| level| Workflow| Perl| Troubleshooting| tools| Technical support| Computer science| java| Linux| Coding| web| XML| Production operations| service| support| deployment,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
2751,"2,00,000 - 3,50,000 PA.",0 - 1 yrs, Back Office| Non Voice,Other,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Fresher
2752, Not Disclosed by Recruiter ,0 - 3 yrs,Business reporting| Relationship| Equity| SUB| B2B| Sales,Retail Sales,"Sales , Retail , Business Development","Banking, Financial Services, Broking",Sales/Business Development Manager
2753, Not Disclosed by Recruiter ,1 - 5 yrs, marketing executive| Sales| distributors| customer profiling| sales strategy| Customer service| market research| Business Development| sales executive| Marketing,Corporate Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales Executive/Officer
2754, Not Disclosed by Recruiter ,10 - 12 yrs, Product Management| Sales| Product Manager| Collection,Retail Sales,"Sales , Retail , Business Development","Medical, Healthcare, Hospitals",Sales/Business Development Manager
2755, Not Disclosed by Recruiter ,2 - 3 yrs, ar| gl| real estate| management consulting| assets| rf| outsourcing| intermediate| jde| part time,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","BPO, Call Centre, ITeS",Accounts Executive/Accountant
2756, Not Disclosed by Recruiter ,10 - 15 yrs, Relationship management| financial institutions| Forex| Policies| Email| Direct tax| Transfer pricing| Capex| Internal control| Liaising,Senior Management,"Accounts , Finance , Tax , Company Secretary , Audit","Recruitment, Staffing",Head/VP/GM-Accounts
2757,"25,00,000 - 30,00,000 PA.",10 - 15 yrs, Strategic HR| HR Policies| Talent Management| OD Interventions| Talent Acquisition| Employee Relations| Compensation| Benefits| Organizational Development| Training| Employee Engagement| Employee Grievances| HR Operations,Senior Management,"HR , Recruitment , Administration , IR","Banking, Financial Services, Broking",Head/VP/GM-HR
2758, Not Disclosed by Recruiter ,4 - 8 yrs, Automobile| Industrial relations| Industrial products| Employee engagement| Performance management system| Marking| Training and Development| MS Office| performance measurement,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","Recruitment, Staffing",HR Executive
2760," ""best In Industry"" ",10 - 15 yrs, sales| retail sales,Channel Sales,"Sales , Retail , Business Development","Retail, Wholesale",Regional Sales Manager
2761,"2,00,000 - 4,00,000 PA.",1 - 5 yrs, Fixing Appointments| dealing| Direct Sales| real estate| Channel Sales| Sales Executive| Real Estate Sales| Sales Officer| promotions| Real Estate Marketing| sales executive activities| lead generation| Residential Sales| Client Relationship,Retail Sales,"Sales , Retail , Business Development","Real Estate, Property",Sales Executive/Officer
2762, Not Disclosed by Recruiter ,15 - 19 yrs,Training| Career development| Email| Sharing| Clinical research| REVIT| Camera| Business Executive| Civil engineering| 3DSmax,Sales Support,"Sales , Retail , Business Development","IT-Software, Software Services",Sales Trainer
2763, Not Disclosed by Recruiter ,4 - 6 yrs, Due diligence| Team management| Capital IQ| Primary research| Bloomberg| Business research| Project management| Analytical| Consulting| Analytics,Corporate Planning/Consulting/Strategy,"Strategy , Management Consulting , Corporate Planning","Recruitment, Staffing",Business Analyst
2764, Not Disclosed by Recruiter ,10 - 12 yrs, Statutory compliance| Local| Administrator Work,Administration/Facility Management,"HR , Recruitment , Administration , IR","Construction, Engineering, Cement, Metals",Executive/ Sr Executive - Administration
2765,"4,00,000 - 6,00,000 PA.",2 - 4 yrs,CSS| Html5| OOPS| HTML| MVC| Laravel| Codeigniter| Core PHP,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
2766, Not Disclosed by Recruiter ,1 - 5 yrs,Photography| SIDE| 3D| CSS| Flex,Retail Sales,"Sales , Retail , Business Development","BPO, Call Centre, ITeS",Sales/Business Development Manager
2767, Not Disclosed by Recruiter ,3 - 8 yrs, hibernate| java| spring mvc| algorithms| web services| nosql| data structures| rdbms| web technologies,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
2768, Not Disclosed by Recruiter ,2 - 5 yrs, Unix| MS SQL| Linux| SSRS| HTML| Windows| Oracle| SSIS| Teradata| Firewall,Admin/Maintenance/Security/Datawarehousing,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",DBA
2770, Not Disclosed by Recruiter ,4 - 7 yrs, HTML| CSS| AngularJS| Javascript| UI| UX,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
2771,"3,00,000 - 5,00,000 PA.",1 - 6 yrs, Fashion Consultant| Fashion| Luxury Retail| Sales| Customer Service| RETAIL,Retail Sales,"Sales , Retail , Business Development","Textiles, Garments, Accessories",Sales Executive/Officer
2772, Not Disclosed by Recruiter ,5 - 10 yrs, Nursing| GNM| Patient Care,Medical Professional,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Medical, Healthcare, Hospitals",Staff Nurse
2773, Not Disclosed by Recruiter ,2 - 5 yrs, Customer service| Back office| Back Office Staff| Back office processing| EPF,Back Office/Web/Transaction Processing,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Assistant Manager/Manager-(NonTechnical)
2774, Not Disclosed by Recruiter ,3 - 8 yrs, lift technician,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance","Industrial Products, Heavy Machinery",Workman/Foreman/Technician
2775, Not Disclosed by Recruiter ,2 - 5 yrs, Counsellor| Teaching,Teachers,"Teaching , Education , Training , Counselling","Construction, Engineering, Cement, Metals",Counselor
2776, Not Disclosed by Recruiter ,5 - 8 yrs, Sales| Client Relationships| Key Account Management| Sales Planning| BFSI Sales,Corporate Banking,"Financial Services , Banking , Investments , Insurance","Banking, Financial Services, Broking",Client Servicing/Key Account Manager
2777, Not Disclosed by Recruiter ,2 - 5 yrs, Graphics| Digital media| Layout design| UX| Web technologies| UI| Illustrator| Grid| Conceptualization| Photoshop,Programming & Design,"IT Software - eCommerce , Internet Technologies","Internet, Ecommerce",Graphic/Web Designer
2778, Not Disclosed by Recruiter ,6 - 11 yrs,j2ee| linux| ajax| software development| design patterns| pre sales| web development| product management| hiring| adobe,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Technical Architect
2779, Not Disclosed by Recruiter ,4 - 9 yrs, QA automation| Linux| MySQL| Automation| Selenium| Test cases| Email| MongoDb| NoSQL| Cassandra,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
2780,"2,25,000 - 3,00,000 PA.",0 - 3 yrs, marketing| digitization| customer service| problem solving| medical records| sales| healthcare,Retail Sales,"Sales , Retail , Business Development","Banking, Financial Services, Broking",Sales Executive/Officer
2781,"1,00,000 - 4,50,000 PA.",1 - 5 yrs, IT Recruiter| talent acquisition| it recruitment| technical recruiter| recruitment| staffing,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Recruitment Executive
2782,"5,00,000 - 7,00,000 PA.",5 - 6 yrs, Accounting| Tax Compliance| Taxation,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","Education, Teaching, Training",Accounts Manager
2783, Not Disclosed by Recruiter ,1 - 6 yrs, Outbound| Telesales| domestic voice process| ESIC| Tele Marketing Executive,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Telecalling/Telemarketing Executive
2784, Not Disclosed by Recruiter ,15 - 18 yrs, Working capital| Policies| Financial reporting| Financial planning| Transfer pricing| Service| Cash flow| Investment banking| Budgeting| Financial services,Senior Management,"Accounts , Finance , Tax , Company Secretary , Audit","Recruitment, Staffing",Head/VP/GM-CFO/Financial Controller
2785, Not Disclosed by Recruiter,4 - 5 Years,Unix|Business process|Core Java|GIT|Debugging|Agile|PLSQL|J2Ee|Outsourcing|Operations,Programming & Design,"IT Software - Application Programming , Maintenance",IT-Software / Software Services,Software Developer
2786, Not Disclosed by Recruiter ,2 - 5 yrs, Networking| Windows| Linux| Wireless| Performance tuning| software| FPGA| configuration| Troubleshooting| tools| scripting| Coding| devops| design| programming| Python| hardware| solid| level| testing| Customer service| it| quality| service| infrastructure| support,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
2787, Not Disclosed by Recruiter ,2 - 5 yrs, Auto| LPG| Layout design| Survey| site| at| Dispensing,Site Engineering,"Site Engineering , Project Management","Oil and Gas, Energy, Power, Infrastructure",Civil Engineer-Municipal
2788, Not Disclosed by Recruiter ,8 - 12 yrs, JMS| Hibernate| jQuery| cassandra| UML| MySQL| MongoDB| MVC| SQL| Python,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Team Lead/Technical Lead
2789, Not Disclosed by Recruiter ,2 - 7 yrs, design| c++| C| MySQL| JavaScript| HTML,Programming & Design,IT Software - Other,"Construction, Engineering, Cement, Metals",Software Developer
2790, Not Disclosed by Recruiter ,2 - 5 yrs, SAP| XML| Oracle| Web services| SOA| MySQL| boomi| HTTP| JSON| Salesforce,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
2791,"4,00,000 - 6,00,000 PA.",2 - 7 yrs, Hospitality Sales| institutional sales| Corporate Sales,Institutional Sales,"Sales , Retail , Business Development","Textiles, Garments, Accessories",Sales Executive/Officer
2792,"INR 2,00,000 - 3,00,000 PA.",3 - 6 Years,payroll processing|hr|HR Operations,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR",Retail / Wholesale,HR Executive
2793, Not Disclosed by Recruiter ,8 - 13 yrs, benefits| hr| forecast| human resource management| human resource| Talent Acquisition| staffing| planning| Payroll| system| hotels| recruitment| hospitality| restaurants| compensation| rewards| policy| budget,Senior Management,"HR , Recruitment , Administration , IR","Travel , Hotels , Restaurants , Airlines , Railways",Head/VP/GM-HR
2794, Not Disclosed by Recruiter ,5 - 10 yrs, microsoft| Troubleshooting| Consulting| Analytics| Information technology| Change management| Application packaging| Recruitment| Monitoring| BPO,Admin/Maintenance/Security/Datawarehousing,IT Software - System Programming,"IT-Software, Software Services",Technical Support Engineer
2795, Not Disclosed by Recruiter ,2 - 5 yrs,JSP servlets| Education| XML| Technical| Programming| Struts| J2Ee| EJB| MSC| Business Executive,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
2796, Not Disclosed by Recruiter ,3 - 8 yrs, XML| PHP| Ajax| development| css| ado.net| Triggers| windows| microsoft| vb.net| tools| sql| coding| jQuery| web| asp.net| .net| Test cases| applications,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
2797, Not Disclosed by Recruiter ,4 - 5 yrs, Auditing| Data analysis| Team building| Monitoring| Information technology| Conceptualization| Employee relations| Credit underwriting| Credit operations| Business loan,Retail/Personal Banking,"Financial Services , Banking , Investments , Insurance","Banking, Financial Services, Broking",Credit Officer
2798, Not Disclosed by Recruiter ,8 - 10 yrs, Counselor| Teaching| Mentor| Trainer| Advisor,University Level,"Teaching , Education , Training , Counselling","Education, Teaching, Training",Lecturer/Professor
2799, Not Disclosed by Recruiter ,0 - 0 yrs,us it recruiter| us it recruitment| us it staffing| us recruitment| w2,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Recruitment Executive
2800, Not Disclosed by Recruiter ,8 - 12 yrs, Civil| Site execution,Site Engineering,"Site Engineering , Project Management","Internet, Ecommerce",Construction-Residential
2801,"8,00,000 - 10,00,000 PA.",8 - 10 yrs,Layouts| Instrumentation Design| SP3D| Instrumentation| oil & gas| cable schedules| 3D Modeling| SPI| MTOS,Engineering Design,"Engineering Design , R&D","Oil and Gas, Energy, Power, Infrastructure",Senior Design Engineer
2802, Not Disclosed by Recruiter ,1 - 6 yrs, Retail Sales| Promotions| Counter Sales| Brand Promotion| IT Sales,Institutional Sales,"Sales , Retail , Business Development","Retail, Wholesale",Sales Executive/Officer
2803,"2,50,000 - 5,00,000 PA.",0 - 1 yrs, manual testing| test cases| test engineering| test scripts| selenium| sql database| quality analysis| web technologies| qa testing| testing fresher,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Testing Engineer
2804, Not Disclosed by Recruiter ,2 - 6 yrs, DEVELOPMENT MANAGER/EXECUTIVE| Corporate| Sales| Excellent| Presentation| Revenue| Generation| wri,Corporate Sales,"Sales , Retail , Business Development","Advertising, PR, MR, Event Management",Sales/Business Development Manager
2805, Not Disclosed by Recruiter ,1 - 3 yrs, iPhone| Automation| UX| Version control| XML| SQLite| Tools| JSON| SDK| DBMS,Programming & Design,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Software Developer
2806, Not Disclosed by Recruiter ,4 - 9 yrs, business banking| forex trading| current account| Casa| portfolio| Transaction Banking,Retail Sales,"Sales , Retail , Business Development","Banking, Financial Services, Broking",Sales/Business Development Manager
2807,"1,75,000 - 2,75,000 PA.",0 - 5 yrs, voice| bpo| customer service associate| call centre| customer service executive| international bpo| csr| inbound| customer service| customer care| csa| Customer Support| cse| Night Shift| cso,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
2808, Not Disclosed by Recruiter ,2 - 5 yrs, Back Office Executive,Administration/Facility Management,"HR , Recruitment , Administration , IR","Internet, Ecommerce",Executive/ Sr Executive - Administration
2810,"3,00,000 - 6,00,000 PA.",2 - 5 yrs, sales executive activities| marketing| promotional campaigns| real estate sales| property sales| real estate marketing,Retail Sales,"Sales , Retail , Business Development","Real Estate, Property",Sales Executive/Officer
2811, Not Disclosed by Recruiter ,6 - 11 yrs, client engagement| manual testing| test scripts| data warehousing| business analyst| sql server| sql scripting| user acceptance testing| oracle sql| requirement analysis,System Design/Implementation/ERP/CRM,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",Business Analyst
2813, Not Disclosed by Recruiter ,1 - 5 yrs, VMS| AWS| devops| Relationship Executive| Infrastructure| orchestration| Basic| Manager Technology| github| Deployment,Programming & Design,"IT Software - Application Programming , Maintenance","Banking, Financial Services, Broking",Software Developer
2814, Not Disclosed by Recruiter,1 - 2 Years,BPO|Communication Skills|Non Voice Process|Analytical Skills|Problem Solving|Technology Solutions|ITES|Google Apps,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations",BPO / Call Centre / ITES,Associate/Senior Associate -(NonTechnical)
2815, Not Disclosed by Recruiter ,2 - 5 yrs, Back Office Coordinator,Institutional Sales,"Sales , Retail , Business Development","Internet, Ecommerce",Sales Promotion Manager
2816, Not Disclosed by Recruiter ,5 - 10 yrs,Media Sales| Ad Sales| B2B Sales| Corporate Sales| Sales Manager,Retail Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager
2817, Not Disclosed by Recruiter ,3 - 7 yrs, Training| Testing| Management| Sales,Retail Sales,"Sales , Retail , Business Development","Construction, Engineering, Cement, Metals",Sales/Business Development Manager
2818, Not Disclosed by Recruiter ,1 - 2 yrs, Professor Activities| Lecturer Activities,Other,"Teaching , Education , Training , Counselling","Education, Teaching, Training",Other
2819, Not Disclosed by Recruiter ,2 - 4 yrs, dreamweaver| wordpress| action script| php| joomla| web development| co| tools| xhtml| magento,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
2820, Not Disclosed by Recruiter ,2 - 7 yrs, marketing| fresher| bpo| kpo| mba| bba| bbm| bca| bsc| ba| ma| bcom| sales| business development| sale| bde| marketing executive| sales executive| sales officer| marketing officer| manager| marketing head| executive| am| assistant manager| counsellor,Marketing,"Marketing , Advertising , MR , PR , Media Planning","Education, Teaching, Training",Direct Marketing Executive
2821, Not Disclosed by Recruiter ,1 - 2 yrs, Outbound| Troubleshooting| Technical support| English| Email| Domestic BPO| Antivirus| Recruitment| Comp| International BPO,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical)
2822,"1,00,000 - 1,50,000 PA.",0 - 1 yrs, production| paint| chemist,Other,"Production , Manufacturing , Maintenance","Chemicals, PetroChemical, Plastic, Rubber",Fresher
2823, Not Disclosed by Recruiter ,1 - 6 yrs, XML| JSON| Android SDK| SQLite| Mobile application development| Analytical skills| Architectural design| Programming| Web services| Basic,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
2825, Not Disclosed by Recruiter ,1 - 5 yrs, Retail Sales| Sales| Visual Merchandising| Merchandising| Fashion Consultant,Retail Sales,"Sales , Retail , Business Development","Retail, Wholesale",Merchandiser
2826, Not Disclosed by Recruiter ,3 - 6 yrs, MVC Architecture| DTP| Transformation| bi| graphic designer| business intelligence| Hana| ABAP| Design Studio| bw| Web Reporting| Query Designer| Bex Analyzer,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
2827, Not Disclosed by Recruiter ,2 - 7 yrs, marketing executive| distributors| customer profiling| sales strategy| market research| Business Development| Sales Manager| sales executive,Retail Sales,"Sales , Retail , Business Development","Recruitment, Staffing",Sales/Business Development Manager
2828, Negotiable ,0 - 5 yrs, Wordpress| Jquery| css| analytics| market research| Photoshop| Illustrator| Fireworks| HTML| Adobe Creative Suite| E - commerce| Responsive Web Design| Wordpress CMS,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
2829, Not Disclosed by Recruiter ,0 - 1 yrs, sec| vision| counsellor| d| complex| office| salary,Teachers,"Teaching , Education , Training , Counselling","Recruitment, Staffing",Counselor
2830, Not Disclosed by Recruiter ,1 - 5 yrs, Customer care Executive| Customer Support Executive| BPO Executive| Administration| technical support| SAP| analytical| Vendor management| technical Support Executive| MS Office,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","Recruitment, Staffing",Associate/Senior Associate -(NonTechnical)
2832, Not Disclosed by Recruiter ,5 - 9 yrs, business process| product management| configuration| test strategy| business analysis| scrum| agile| business analyst,System Design/Implementation/ERP/CRM,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Business Analyst
2833, Not Disclosed by Recruiter ,2 - 6 yrs, asp.net mvc| jquery| c#| web services| .net| software development| oops| sql| ASP.NET Developer| .net developer,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
2836, Not Disclosed by Recruiter ,2 - 4 yrs,Contract management| Construction management| Civil engineering| Solution design| 3D modeling| Financial inclusion| Data collection| Site supervision| AutoCAD 2D,Architectural Services,"Architecture , Interior Design","Strategy, Management Consulting Firms",Architect
2837, Not Disclosed by Recruiter ,2 - 7 yrs, XML| Javascript| Struts| Hibernate| XHTML| XSLT| Spring| Ajax,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","IT-Software, Software Services",Training Manager
2838,"4,00,000 - 6,00,000 PA.",5 - 10 yrs, Salesman| sales executive activities| Sales| distribution network| Sales Manager| dealer network,Retail Sales,"Sales , Retail , Business Development","Construction, Engineering, Cement, Metals",Area Sales Manager
2839, Not Disclosed by Recruiter ,5 - 7 yrs, SAP Fiori,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",System Analyst
2840, Not Disclosed by Recruiter ,4 - 5 yrs, Taxation| Financial reporting| Balance Sheet| ERP| Journal entries| Microsoft Dynamics Navision| Payroll processing| Internal audit| Accounting| Management,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","Recruitment, Staffing",Accounts Executive/Accountant
2841,"8,00,000 - 12,00,000 PA.",3 - 8 yrs, mvc| asp.net| asp net| azure| .net| C#| Microsoft Azure| GIT| SQL Server| Architecture| Design| Testing| Deployment| Development| coding,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
2842, Not Disclosed by Recruiter ,3 - 8 yrs, digital marketing| copyright| solutions| content writing| hr| salary| content writer,Content Development,"Journalism , Editing , Content","IT-Software, Software Services",Content Developer
2844, Not Disclosed by Recruiter ,9 - 12 yrs, Query Optimization| Database Administration| Transition Management| Cassandra| SQL Server| Performance Tuning| Optimization| Oracle RDBMS| PLSQL| Data Modeling| Data Warehousing| Data Architecture| OLTP,Programming & Design,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",Technical Architect
2847, Not Disclosed by Recruiter ,3 - 7 yrs,Telecom| C++| Protocols| Networking| L2| L3| SCTP| LTE,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
2848, Not Disclosed by Recruiter ,2 - 7 yrs, SFDC,Programming & Design,"IT Software - ERP , CRM","IT-Software, Software Services",Software Developer
2849,"2,00,000 - 3,00,000 PA.",2 - 4 yrs, store supervision| inventory management,Logistics,Purchase / Logistics / Supply Chain,"Construction, Engineering, Cement, Metals",Store Keeper/Warehouse Assistant
2850, Not Disclosed by Recruiter ,2 - 7 yrs, MFC| VB| SQL| c++| C| MS Access| software| VC++| Database| mca| Business Executive,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
2851,"1,00,000 - 2,00,000 PA.",0 - 2 yrs, software development| software programming| sql server| asp.net| c#.net| Angularjs| .Net| Bootstrap| OOPS| ajax| javascript| jQuery| LINQ| WCF| WWF| Stored Procedures,Programming & Design,IT Software - System Programming,"IT-Software, Software Services",Software Developer
2852, Not Disclosed by Recruiter ,10 - 15 yrs, Telesales| Telemarketing| Recruitment| Tele Sales Executive| Outbound| Sales| Telecalling| Tele Marketing Executive,Sales Support,"Sales , Retail , Business Development","Recruitment, Staffing",Telesales/Telemarketing Executive/Officer
2853,"12,00,000 - 15,00,000 PA.",4 - 9 yrs, Retail Operations| Property Acquisition| Area Management| Franchisee Development| franchisee acquisition| franchisee| franchise| Franchisee Management,Retail Sales,"Sales , Retail , Business Development","Retail, Wholesale",Area Sales Manager
2854,"2,00,000 - 4,50,000 PA.",0 - 5 yrs, electronics| Utility Maintenance| Plant Maintenance| Preventive Maintenance| Mechanical Maintenance| Electricals,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance","Construction, Engineering, Cement, Metals",Service/Maintenance Engineer
2855, Not Disclosed by Recruiter ,5 - 10 yrs, coordination| assets| bca| mca| test management| sdlc| test | test automation| pre sales s| port,Programming & Design,IT Software - QA & Testing,"IT-Software, Software Services",Testing Engineer
2856, Not Disclosed by Recruiter ,2 - 7 yrs, Sales Manager| Kotak Life Insurance| market research| customer profiling| sales executive| marketing executive| distributors| Business Development| sales strategy,Retail Sales,"Sales , Retail , Business Development","Recruitment, Staffing",Sales/Business Development Manager
2857, Not Disclosed by Recruiter ,2 - 4 yrs, Mean Stack| Problem Solving| Javascript| Node.Js,Programming & Design,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",Software Developer
2858,"6,00,000 - 16,00,000 PA.",7 - 12 yrs, Sales Operations| Operations Management| Warehouse Management| inventory management| logistics| transportation,Senior Management,"Supply Chain , Logistics , Purchase , Materials",Medical Devices / Equipments,Head/VP/GM-SCM/Logistics
2859, Not Disclosed by Recruiter ,0 - 1 yrs, Monitoring| Analytical| French| Interpersonal skills| SAN| Territory Executive| C| Cook| ios trainee| PDF,Corporate Planning/Consulting/Strategy,"Strategy , Management Consulting , Corporate Planning","BPO, Call Centre, ITeS",EA to Chairman/President/VP
2860, Not Disclosed by Recruiter ,7 - 10 yrs, Financial services| Investment banking| Data analysis| SDLC| Root cause analysis| SQL queries| Business Analyst| Vendor| QA| Equity,System Design/Implementation/ERP/CRM,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Business Analyst
2861,"6,00,000 - 16,00,000 PA.",4 - 6 yrs, Embedded Software| C++| Multithreading,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
2862, Not Disclosed by Recruiter ,5 - 9 yrs, Training Head| Training| English| preschool| Social science| PCM| Content creation| Subject matter expertise| Project management| Training delivery,Teachers,"Teaching , Education , Training , Counselling","IT-Software, Software Services",Teacher/ Private Tutor
2863, Not Disclosed by Recruiter ,2 - 5 yrs, Perl| Linux| MySQL| SAN| Application packaging| server| Automation| Architecture| it| application| service| Shell scripting| design| Load balancing| support| Python| applications| deployment,Programming & Design,IT Software - System Programming,"IT-Software, Software Services",Software Developer
2864, Not Disclosed by Recruiter ,3 - 7 yrs, TCP| Automation| Linux| Networking| Perl| Windows| Troubleshooting| Content development| SQL| Python,Programming & Design,IT Software - Other,"IT-Software, Software Services",Team Lead/Technical Lead
2865, Not Disclosed by Recruiter ,6 - 8 yrs, Testing| Test Automation| Selenium| C#| Software Quality Assurance| SQL| SDLC| ASP| .Net,Programming & Design,IT Software - QA & Testing,"IT-Software, Software Services",Testing Engineer
2866, Not Disclosed by Recruiter ,5 - 10 yrs, configuration| java| oracle| server| technical| software| administration| sql| database| optimization| linux| perl| mongodb| architecture| c#| python| software development| tuning| c| consulting| testing| application development| ruby| application| php| support| applications,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
